caseid,source_row,pollgroup,baseline_police_raw,post_children_raw,post_tv_raw,post_discipline_raw,pre,historical_post,candidate_post,delta
10406,406,2705,5,4,5,3,0.5,0.8333333333333334,0.75,-0.08333333333333337
10407,407,2720,5,5,2,3,0.5833333333333334,0.5833333333333334,0.5833333333333334,0
10409,409,2718,5,5,4,5,0.9166666666666666,0.9166666666666666,0.9166666666666666,0
10410,410,2706,5,4,4,3,0.75,0.75,0.6666666666666666,-0.08333333333333337
10411,411,2713,5,4,5,4,0.9166666666666666,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10412,412,2719,5,4,2,3,0.5833333333333334,0.5833333333333334,0.5,-0.08333333333333337
10418,418,2708,5,5,3,5,0.4166666666666667,0.8333333333333334,0.8333333333333334,0
10420,420,2704,5,4,2,5,0.5833333333333334,0.75,0.6666666666666666,-0.08333333333333337
10421,421,2702,5,4,4,4,0.5833333333333334,0.8333333333333334,0.75,-0.08333333333333337
10424,424,2719,5,4,4,5,0.9166666666666666,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10426,426,2712,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10430,430,2703,3,5,4,4,0.9166666666666666,0.6666666666666666,0.8333333333333334,0.16666666666666674
10431,431,2711,5,5,5,5,0.8333333333333334,1,1,0
10444,444,2713,4,5,4,5,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.08333333333333326
10446,446,2715,4,4,3,4,0.75,0.6666666666666666,0.6666666666666666,0
10449,449,2706,5,5,5,5,1,1,1,0
10452,452,2714,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10454,454,2708,5,4,3,5,0.5,0.8333333333333334,0.75,-0.08333333333333337
10455,455,2705,4,5,4,5,0.8333333333333334,0.8333333333333334,0.9166666666666666,0.08333333333333326
10457,457,2707,5,5,3,3,0.4166666666666667,0.6666666666666666,0.6666666666666666,0
10463,463,2710,5,4,5,4,0.8333333333333334,0.9166666666666666,0.8333333333333334,-0.08333333333333326
10464,464,2709,5,5,5,5,1,1,1,0
10467,467,2712,5,3,5,NA,0.8333333333333334,1,0.75,-0.25
10474,474,2718,2,5,3,4,0.25,0.5,0.75,0.25
10484,484,2701,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10487,487,2704,4,4,3,4,0.75,0.6666666666666666,0.6666666666666666,0
10488,488,2707,4,4,4,4,0.9166666666666666,0.75,0.75,0
10489,489,2719,5,4,2,2,0.25,0.5,0.4166666666666667,-0.08333333333333331
10497,497,2703,5,5,4,5,1,0.9166666666666666,0.9166666666666666,0
10501,501,2702,5,5,5,5,1,1,1,0
